CARP Backend running on http://localhost:3001
Health check: http://localhost:3001/api/health
2026-04-19T21:49:59.974Z GET /api/health
2026-04-19T21:50:12.427Z GET /api/health
2026-04-19T21:50:12.853Z POST /api/auth/register
2026-04-19T21:50:22.019Z POST /api/auth/login
2026-04-19T21:50:22.755Z POST /api/auth/login
2026-04-19T21:50:23.534Z POST /api/auth/login
2026-04-19T21:50:23.662Z POST /api/auth/register
2026-04-19T21:50:23.878Z POST /api/auth/register
2026-04-19T21:50:33.550Z GET /api/auth/me
2026-04-19T21:50:33.724Z GET /api/auth/me
2026-04-19T21:50:33.830Z GET /api/auth/me
2026-04-19T21:50:33.940Z GET /api/user/profile
2026-04-19T21:50:34.059Z PATCH /api/user/profile
2026-04-19T21:50:34.159Z POST /api/user/change-password
2026-04-19T21:50:39.888Z POST /api/auth/login
2026-04-19T21:50:52.342Z POST /api/auth/login
2026-04-19T21:51:03.607Z GET /api/auth/me
2026-04-19T21:51:03.747Z GET /api/auth/me
2026-04-19T21:51:03.905Z GET /api/user/profile
2026-04-19T21:51:04.031Z PATCH /api/user/profile
2026-04-19T21:51:04.164Z POST /api/user/change-password
2026-04-19T21:51:04.963Z POST /api/user/change-password
2026-04-19T21:51:13.017Z POST /api/auth/login
2026-04-19T21:51:13.143Z POST /api/auth/login
2026-04-19T21:51:13.262Z POST /api/auth/google
2026-04-19T21:51:13.365Z POST /api/auth/google
